DateTimeKey,Date Time Hour Beginning,Hourly UCLF+OCLF
2026-06-21 00:00:00,2026-06-21 00:00:00,9841.6039999999994
2026-06-21 01:00:00,2026-06-21 01:00:00,9889.6489999999994
2026-06-21 02:00:00,2026-06-21 02:00:00,10327.454
2026-06-21 03:00:00,2026-06-21 03:00:00,10335.384
2026-06-21 04:00:00,2026-06-21 04:00:00,10301.398999999999
2026-06-21 05:00:00,2026-06-21 05:00:00,10301.398999999999
2026-06-21 06:00:00,2026-06-21 06:00:00,10301.398999999999
2026-06-21 07:00:00,2026-06-21 07:00:00,10268.396000000001
2026-06-21 08:00:00,2026-06-21 08:00:00,10384.887000000001
2026-06-21 09:00:00,2026-06-21 09:00:00,10685.002
2026-06-21 10:00:00,2026-06-21 10:00:00,10746.164000000001
2026-06-21 11:00:00,2026-06-21 11:00:00,10795.411
2026-06-21 12:00:00,2026-06-21 12:00:00,10758.291999999999
2026-06-21 13:00:00,2026-06-21 13:00:00,10720.142
2026-06-21 14:00:00,2026-06-21 14:00:00,10771.681
2026-06-21 15:00:00,2026-06-21 15:00:00,10914.429
2026-06-21 16:00:00,2026-06-21 16:00:00,11431.222
2026-06-21 17:00:00,2026-06-21 17:00:00,11448.707
2026-06-21 18:00:00,2026-06-21 18:00:00,11388.017
2026-06-21 19:00:00,2026-06-21 19:00:00,11347.118
2026-06-21 20:00:00,2026-06-21 20:00:00,11220.134
2026-06-21 21:00:00,2026-06-21 21:00:00,11187.418
2026-06-21 22:00:00,2026-06-21 22:00:00,10592.918
2026-06-21 23:00:00,2026-06-21 23:00:00,10540.885
2026-06-22 00:00:00,2026-06-22 00:00:00,10661.894
2026-06-22 01:00:00,2026-06-22 01:00:00,11021.031999999999
2026-06-22 02:00:00,2026-06-22 02:00:00,10861.046
2026-06-22 03:00:00,2026-06-22 03:00:00,11115.405000000001
2026-06-22 04:00:00,2026-06-22 04:00:00,12421.251
2026-06-22 05:00:00,2026-06-22 05:00:00,13201.611000000001
2026-06-22 06:00:00,2026-06-22 06:00:00,13299.710999999999
2026-06-22 07:00:00,2026-06-22 07:00:00,13182.434999999999
2026-06-22 08:00:00,2026-06-22 08:00:00,13118.198
2026-06-22 09:00:00,2026-06-22 09:00:00,13183.627
2026-06-22 10:00:00,2026-06-22 10:00:00,13201.295
2026-06-22 11:00:00,2026-06-22 11:00:00,12990.333000000001
2026-06-22 12:00:00,2026-06-22 12:00:00,13265.117
2026-06-22 13:00:00,2026-06-22 13:00:00,13258.746999999999
2026-06-22 14:00:00,2026-06-22 14:00:00,13089.653
2026-06-22 15:00:00,2026-06-22 15:00:00,13095.736000000001
2026-06-22 16:00:00,2026-06-22 16:00:00,13451.454
2026-06-22 17:00:00,2026-06-22 17:00:00,13318.638000000001
2026-06-22 18:00:00,2026-06-22 18:00:00,12830.986999999999
2026-06-22 19:00:00,2026-06-22 19:00:00,12872.795
2026-06-22 20:00:00,2026-06-22 20:00:00,13258.415000000001
2026-06-22 21:00:00,2026-06-22 21:00:00,13211.009
2026-06-22 22:00:00,2026-06-22 22:00:00,12693.467000000001
2026-06-22 23:00:00,2026-06-22 23:00:00,12071.200000000001
2026-06-23 00:00:00,2026-06-23 00:00:00,12134.34
2026-06-23 01:00:00,2026-06-23 01:00:00,12086.192999999999
2026-06-23 02:00:00,2026-06-23 02:00:00,11988.293
2026-06-23 03:00:00,2026-06-23 03:00:00,11965.905000000001
2026-06-23 04:00:00,2026-06-23 04:00:00,11944.061
2026-06-23 05:00:00,2026-06-23 05:00:00,12022.195
2026-06-23 06:00:00,2026-06-23 06:00:00,12066.237999999999
2026-06-23 07:00:00,2026-06-23 07:00:00,11888.165999999999
2026-06-23 08:00:00,2026-06-23 08:00:00,11740.226000000001
2026-06-23 09:00:00,2026-06-23 09:00:00,11731.813
2026-06-23 10:00:00,2026-06-23 10:00:00,11703.48
2026-06-23 11:00:00,2026-06-23 11:00:00,11684.313
2026-06-23 12:00:00,2026-06-23 12:00:00,11656.152
2026-06-23 13:00:00,2026-06-23 13:00:00,11645.155000000001
2026-06-23 14:00:00,2026-06-23 14:00:00,12064.155000000001
2026-06-23 15:00:00,2026-06-23 15:00:00,12647.319
2026-06-23 16:00:00,2026-06-23 16:00:00,12958.619000000001
2026-06-23 17:00:00,2026-06-23 17:00:00,13159.120999999999
2026-06-23 18:00:00,2026-06-23 18:00:00,12609.906000000001
2026-06-23 19:00:00,2026-06-23 19:00:00,12666.4
2026-06-23 20:00:00,2026-06-23 20:00:00,12522.120999999999
2026-06-23 21:00:00,2026-06-23 21:00:00,12439.162
2026-06-23 22:00:00,2026-06-23 22:00:00,12515.228999999999
2026-06-23 23:00:00,2026-06-23 23:00:00,12550.681
2026-06-24 00:00:00,2026-06-24 00:00:00,12500.907999999999
2026-06-24 01:00:00,2026-06-24 01:00:00,12446.549000000001
2026-06-24 02:00:00,2026-06-24 02:00:00,12446.549000000001
2026-06-24 03:00:00,2026-06-24 03:00:00,12609.966
2026-06-24 04:00:00,2026-06-24 04:00:00,12685.339
2026-06-24 05:00:00,2026-06-24 05:00:00,12881.699000000001
2026-06-24 06:00:00,2026-06-24 06:00:00,12833.686
2026-06-24 07:00:00,2026-06-24 07:00:00,12775.712
2026-06-24 08:00:00,2026-06-24 08:00:00,13018.252
2026-06-24 09:00:00,2026-06-24 09:00:00,13267.222
2026-06-24 10:00:00,2026-06-24 10:00:00,13275.439
2026-06-24 11:00:00,2026-06-24 11:00:00,13149.046
2026-06-24 12:00:00,2026-06-24 12:00:00,12663.005999999999
2026-06-24 13:00:00,2026-06-24 13:00:00,11845.888999999999
2026-06-24 14:00:00,2026-06-24 14:00:00,11759.084000000001
2026-06-24 15:00:00,2026-06-24 15:00:00,12096.671
