Week_Start_End_Date,Outage_Intervals,Class_Upper_IntVL,Total_T_Range,TTL_Per_INTERVAL,Total_T_Range_DESC
Saturday 2026-06-27 To Friday 2026-07-03,7700, to 8400,11.000000,18,From_7700 To_8400
Saturday 2026-06-20 To Friday 2026-06-26,8400, to 9100,5.000000,9,From_8400 To_9100
Saturday 2026-06-27 To Friday 2026-07-03,8400, to 9100,11.000000,18,From_8400 To_9100
Saturday 2026-06-27 To Friday 2026-07-03,9100, to 9800,4.000000,7,From_9100 To_9800
Saturday 2026-06-20 To Friday 2026-06-26,9100, to 9800,6.000000,10,From_9100 To_9800
Saturday 2026-06-27 To Friday 2026-07-03,9800, to 10500,6.000000,10,From_9800 To_10500
Saturday 2026-06-20 To Friday 2026-06-26,9800, to 10500,27.000000,45,From_9800 To_10500
Saturday 2026-06-27 To Friday 2026-07-03,10500, to 11200,9.000000,15,From_10500 To_11200
Saturday 2026-06-20 To Friday 2026-06-26,10500, to 11200,16.000000,27,From_10500 To_11200
Saturday 2026-06-27 To Friday 2026-07-03,11200, to 11900,2.000000,4,From_11200 To_11900
Saturday 2026-06-20 To Friday 2026-06-26,11200, to 11900,12.000000,20,From_11200 To_11900
Saturday 2026-06-20 To Friday 2026-06-26,11900, to 12600,14.000000,23,From_11900 To_12600
Saturday 2026-06-20 To Friday 2026-06-26,12600, to 13300,19.000000,32,From_12600 To_13300
Saturday 2026-06-20 To Friday 2026-06-26,13300, to 14000,1.000000,2,From_13300 To_14000
